external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
19502,J. Allen,Joseph Michael Allen,Wales,Wales,,
325293,J. Bennette,Jewison Francisco Bennette Villegas,Costa Rica,Costa Rica,,
2762,J. Brekalo,Josip Brekalo,Croatia,Croatia,,
2845,J. Campbell,Joel Nathaniel Campbell Samuels,Costa Rica,Costa Rica,,
20545,J. Castelletto,Jean-Charles Victor Castelletto,Cameroon,Cameroon,,
19774,J. Cummings,Jason Steven Cummings,Australia,Australia,,
31386,J. El Yamiq,Jawad El Yamiq,Morocco,Morocco,,
51142,J. Ferreira,Jesús David Ferreira Castro,USA,USA,,
50009,J. Jønsson,Jens Jønsson,Denmark,Denmark,,
14330,J. Juranović,Josip Juranović,Croatia,Croatia,,
40560,J. Kamiński,Jakub Piotr Kamiński,Poland,Poland,,
15884,J. Lindstrøm,Jesper Grænge Lindstrøm,Denmark,Denmark,,
1930,J. Mæhle,Joakim Mæhle Pedersen,Denmark,Denmark,,
102469,J. Mbekeli,Jérôme Ngom Mbekeli,Cameroon,Cameroon,,
19271,J. Morrell,Joseff John Morrell,Wales,Wales,,
51118,J. Morris,Jordan Perry Morris,USA,USA,,
962,J. Nsame,Jean-Pierre Junior Nsame,Cameroon,Cameroon,,
41748,J. Onana,Jean Emile Junior Onana Onana,Cameroon,Cameroon,,
1083,J. Onguéné,Jérôme Junior Onguéné,Cameroon,Cameroon,,
78756,J. Uzuegbunam,John Mary Honi Uzuegbunam,Cameroon,Cameroon,,
2836,J. Vargas,Juan Pablo Vargas Campos,Costa Rica,Costa Rica,,
13891,J. Venegas,Johan Alberto Venegas Ulloa,Costa Rica,Costa Rica,,
30409,J. Veretout,Jordan Marcel Gilbert Veretout,France,France,,
170,J. Vertonghen,Jan Vertonghen,Belgium,Belgium,,
1302,J. Wind,Jonas Older Wind,Denmark,Denmark,,
128,Jordi Alba,Jordi Alba Ramos,Spain,Spain,,
51310,K. Acosta,Kellyn Kai Perry-Acosta,USA,USA,,
126751,K. Álvarez,Kevin Nahin Álvarez Campos,Mexico,Mexico,,
213,K. Baldé,Keita Baldé Diao,Senegal,Senegal,,
2918,K. Casteels,Koen Casteels,Belgium,Belgium,,
2832,K. Fuller,Keysher Fuller Spence,Costa Rica,Costa Rica,,
97,K. Glik,Kamil Jacek Glik,Poland,Poland,,
15573,K. Grabara,Kamil Mieczysław Grabara,Poland,Poland,,
3012,K. Grosicki,Kamil Paweł Grosicki,Poland,Poland,,
318,K. Koulibaly,Kalidou Koulibaly,Senegal,Senegal,,
64304,K. Kozłowski,Kacper Szymon Kozłowski,Poland,Poland,,
3009,K. Linetty,Karol Linetty,Poland,Poland,,
731,K. Navas,Keylor Antonio Navas Gamboa,Costa Rica,Costa Rica,,
293642,K. Opoku,Kwame Opoku,Ghana,Ghana,,
1651,K. Piątek,Krzysztof Piątek,Poland,Poland,,
119762,K. Piątkowski,Kamil Piątkowski,Poland,Poland,,
47523,K. Soni,Kévin Olivier Soni,Cameroon,Cameroon,,
8789,K. Sowah,Kamal Deen Sowah,Ghana,Ghana,,
1709,K. Toko Ekambi,Karl Louis-Brillant Toko Ekambi,Cameroon,Cameroon,,
1800,K. Trapp,Kevin Christian Trapp,Germany,Germany,,
2837,K. Waston,Kendall Jamaal Waston Manley,Costa Rica,Costa Rica,,
2913,Kwon Chang-Hoon,Chang-Hoon Kwon,Korea Republic,South Korea,,
35766,L. Cavallini,Lucas Daniel Cavallini,Canada,Canada,,
35690,L. Chávez,Luis Gerardo Chávez Magallón,Mexico,Mexico,,
19026,L. de la Torre,Lucas Daniel de la Torre,USA,USA,,
2922,L. Dendoncker,Leander Dendoncker,Belgium,Belgium,,
1828,L. Jović,Luka Jović,Serbia,Serbia,,
1144,L. Klostermann,Lukas Manuel Klostermann,Germany,Germany,,
49469,M. Ben Ouanes,Ahmed Mortadha Ben Ouanes,Tunisia,Tunisia,,
49404,M. Ben Romdhane,Mohamed Ali Ben Romdhane,Tunisia,Tunisia,,
336,M. Borjan,Milan Borjan,Canada,Canada,,
2737,M. Braithwaite,Martin Christensen Braithwaite,Denmark,Denmark,,
201,M. Brozović,Marcelo Brozović,Croatia,Croatia,,
854,M. Cáceres,José Martín Cáceres Silva,Uruguay,Uruguay,,
667,M. Depay,Memphis Depay,Netherlands,Netherlands,,
2813,M. Dmitrović,Marko Dmitrović,Serbia,Serbia,,
2952,M. Dräger,Mohamed Dräger,Tunisia,Tunisia,,
16432,M. Estrada,Michael Steveen Estrada Martínez,Ecuador,Ecuador,,
25350,M. Grujić,Marko Grujić,Serbia,Serbia,,
2941,M. Hassen,Mouez Hassen,Tunisia,Tunisia,,
63542,M. Hongla,Martin Hongla Yma II,Cameroon,Cameroon,,
51035,M. Kaye,Mark-Anthony Kaye,Canada,Canada,,
611,M. Livaja,Marko Livaja,Croatia,Croatia,,
384,M. Loum,Mamadou Loum N'Diaye,Senegal,Senegal,,
2702,M. Mohamedi,Munir Mohand Mohamedi El Kajoui,Morocco,Morocco,,
175415,M. N&apos;Diaye,Moussa N'Diaye,Senegal,Senegal,,
