external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
20288,O. Beckles,Omar Jerome Beckles,Grenada,Leyton Orient,,
180298,O. Fraulo,Oscar Luigi Fraulo,Denmark,Derby,,
19074,O. Hernández,Onel Lázaro Hernández Mayea,Cuba,Port Vale,,
349383,O. Irow,Oliver Irow,England,Mansfield Town,,
538378,O. Lynch,O. Lynch,,Tamworth,,
399906,O. Maamma,Othmane Maamma,France,Watford,,
98067,O. Moxon,Owen Moxon,England,Wigan,,
37383,O. Romeny,Ole ter Haar Romeny,Netherlands,Oxford United,,
624708,O. Shield,O. Shield,,Brentford,,
494237,O. Sykes,Ollie Sykes,England,Gainsborough Trinity,,
284381,Oliver Bainbridge,Oliver Bainbridge,England,South Shields,,
413499,Oliver Bostock,Oliver Bostock,England,West Brom,,
498728,Oluchukwu Nwankwo,Oluchukwu Nwankwo,England,Blackpool,,
18949,Oriol Romeu,Oriol Romeu Vidal,Spain,Southampton,,
407652,P. Agyemang,Patrick Agyemang,Ghana,Derby,,
19134,P. Bamford,Patrick James Bamford,England,Sheffield Utd,,
167071,P. Blackett,Paul Blackett,England,South Shields,,
437558,P. Chinedu,Phillip Chinedu,England,Leyton Orient,,
18499,P. Kioso,Peter Kioso,Congo DR,Peterborough,,
538535,P. Leech,P. Leech,,Gateshead,,
162075,P. Maghoma,Edmond-Paris Maghoma,England,Norwich,,
15936,P. Mattsson,Pelle Elkjær Mattsson,Denmark,Norwich,,
19242,P. McNair,Patrick James Coleman McNair,Northern Ireland,Hull City,,
603520,P. Ojemen,P. Ojemen,,Slough Town,,
20192,P. Smyth,Paul Patrick Smyth,Northern Ireland,QPR,,
283287,Paul Nana Akwashi Appiah,Paul Nana Akwashi Appiah,England,Chelmsford City,,
358666,R. Akachukwu,Romeo Akachukwu,Republic of Ireland,Southampton,,
18648,R. Atkinson,Robert Philip Atkinson,England,Bristol City,,
18352,R. Brindley,Richard Michael Brindley,England,Eastleigh,,
82228,R. Calder,Riccardo Amos Calder,England,Brackley Town,,
288125,R. Clayton,Regan Clayton,England,Braintree,,
17985,R. Cole,Reece George Cole,England,Exeter City,,
94676,R. Greenidge,Reiss James Greenidge,Guyana,Slough Town,,
20291,R. Haynes,Ryan Matthew Haynes,England,Brackley Town,,
20161,R. Holmes,Ricky Lee Holmes,England,Chelmsford City,,
45027,R. Inniss,Ryan Stuart Clayton Inniss,England,Forest Green,,
453043,R. Kone,Richard Kone,Côte d'Ivoire,QPR,,
538383,R. Linney,R. Linney,,Carlisle,,
557419,R. Otegbayo,R. Otegbayo,,Stoke City,,
19958,R. Tafazolli,Ryan Sirous Tafazolli,England,Swindon Town,,
18276,R. Tinkler,Robbie Tinkler,England,South Shields,,
284361,R. Vítek,Radek Vítek,Czechia,Bristol City,,
18771,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,Portugal,Leicester,,
361504,Ruben Curly,Ruben Curly,England,Stoke City,,
286777,Ruben Okemute Shakpoke,Ruben Okemute Shakpoke,England,Slough Town,,
167123,S. Avery,Sam Avery,England,Weston-super-Mare,,
107087,S. Banks,Scott Brian Banks,Scotland,Blackpool,,
327749,S. Boniface,Somto chukwu Boniface,England,Ipswich,,
289624,S. Braybrooke,Samuel Charles Braybrooke,England,Newport County,,
118773,S. Byrne,Shane William Byrne,Republic of Ireland,Brackley Town,,
167165,S. Carey,Sonny Jack Carey,England,Charlton,,
44868,S. Clare,Sean James Kewku Clare,England,Leyton Orient,,
18863,S. Cook,Steve Anthony Cook,England,QPR,,
278085,S. Edozie,Samuel Ikechukwu Edozie,England,Southampton,,
342654,S. Egeli,Sindre Walle Egeli,Norway,Ipswich,,
19156,S. Field,Samuel Edward Field,England,Norwich; QPR,,
272555,S. Folarin,Samuel Oluwatimilchin Adetokunbo Fola,England,Chelmsford City,,
18954,S. Gallagher,Samuel James Gallagher,England,Stoke City,,
161884,S. Hansen,Sontje Hansen,Netherlands,Middlesbrough,,
30809,S. Ingelsson,Svante Ulf Ingel Ingelsson,Sweden,Sheffield Wednesday,,
538392,S. Kamara,S. Kamara,,Braintree,,
265444,S. Langås,Sondre Klingen Langås,Norway,Derby,,
284391,S. Murray,Sam Murray,England,Carlisle,,
780,S. Nzonzi,Steven N'Kemboanza Mike Christ Nzonzi,France,Stoke City,,
449047,S. Obieri,Sopuruchukwu Obieri,England,Cheltenham,,
17785,S. Pollock,Scott Alexander Gladman Pollock,England,Brackley Town,,
378951,S. Remy,Shiloh Remy,England,Chelmsford City,,
138237,S. Robertson,Scott Robertson,Scotland,Notts County,,
557450,S. Sillah Dibaga,S. Sillah Dibaga,,Southampton,,
126872,S. Silvera,Samuel Miles Silvera,Australia,Middlesbrough,,
494235,S. Tuntulwana,Sisa Tuntulwana,England,Gainsborough Trinity,,
129725,S. Wearne,Stephen Christopher Wearne,England,Carlisle,,
20318,S. Whalley,Shaun James Whalley,England,Accrington ST,,
17998,S. Wilson,Scott Kristien Scott-Wilson,England,Weston-super-Mare,,
19558,Sam Morsy,Samy Sayed Morsy,Egypt,Bristol City,,
118359,Scott Myles Edward Davies,Scott Myles Edward Davies,Republic of Ireland,Slough Town,,
400693,Sean Etaluku,Sean Etaluku,England,Forest Green,,
279049,Sean McGurk,Sean McGurk,England,South Shields,,
382354,Sebastian  Naylor,Sebastian Naylor,England,Bristol City,,
231089,Stefan Mols,Stefan Edouard Mols,Spain,Tamworth,,
477992,T. Akindileni,Timothy Akindileni,Czechia,QPR,,
19351,T. Archibald,Theodore Valentine Archibald,Scotland,Leyton Orient,,
579354,T. Babalola,T. Babalola,,Forest Green,,
282727,T. Brooks,Tiernan Brooks,Republic of Ireland,Gateshead,,
906,T. Chong,Tahith Jose Chong,Netherlands,Sheffield Utd,,
347928,T. Clark,Taylor Clark,England,Chelmsford City,,
18762,T. Davies,Thomas Davies,England,Sheffield Utd,,
135523,T. Dixon-Hodge,Tommy Dixon-Hodge,Scotland,Maldon & Tiptree,,
557522,T. Dobson-Ventura,T. Dobson-Ventura,,Southampton,,
278073,T. Dyce,Tyrese Dyce,England,Slough Town,,
17563,T. Eastman,Thomas Michael Eastman,England,Maldon & Tiptree,,
375876,T. Eweka,Temitope Eweka,England,Eastleigh,,
350590,T. Gidaree,Tarik Gidaree,England,Slough Town,,
18040,T. James,Thomas Lynn James,Wales,Leyton Orient,,
17965,T. Knowles,Thomas Andrew Knowles,England,Forest Green,,
19378,T. Lees,Thomas James Lees,England,Peterborough,,
19468,T. Magloire,Tyler Jordan Magloire,England,Port Vale,,
153429,T. Mengi,Teden Mambuene Mengi,England,Luton,,
400739,T. Ogunsuyi,Trey Samuel-Ogunsuyi,Belgium,Shrewsbury,,
538480,T. Pemberton,T. Pemberton,,Forest Green,,
290211,T. Rigo,Tomáš Rigo,Slovakia,Stoke City,,
19139,T. Roberts,Tyler D'Whyte Roberts,Wales,Mansfield Town,,
366630,T. Sellars-Fleming,Tyrell Sellars-Fleming,England,Grimsby,,
51307,T. Smith,Thomas Jefferson Smith,New Zealand,Braintree,,
583870,T. Spencer-Clarke,T. Spencer-Clarke,,Slough Town,,
278064,T. Springett,Anthony Gary Springett,England,Norwich,,
17639,T. Vancooten,Terence Owen Vancooten,Guyana,Burton Albion,,
538479,T. Works,T. Works,,Braintree,,
153076,Terrell Evieoghene Oluwatoby Egbri,Terrell Evieoghene Oluwatoby Egbri,England,Maldon & Tiptree,,
498726,Terry Bondo,Terry Bondo,England,Blackpool,,
486405,Theo Upton,Theo Upton,England,Blackpool,,
308844,Todd Alcock,Todd Alcock,England,South Shields,,
403232,Tom Atcheson,Tom Atcheson,England,Blackburn,,
455009,Tom Taylor,Tom Taylor,England,Cheltenham,,
82473,Tom Tonks,Tom Tonks,England,Tamworth,,
231203,Tyler Lyttle,Tyler Lyttle,England,Brackley Town,,
394294,Tyreece Anthony  Tupac Shakur Campbell,Tyreece Anthony Tupac Shakur Campbell,England,Charlton,,
586262,Tyrelle Newton,Tyrelle Newton,,Gateshead,,
17482,U. Godwin-Malife,Udoka Favour Godwin-Malife,England,Burton Albion,,
19801,V. Adeboyejo,Victor Adeboyejo,Nigeria,Mansfield Town,,
70336,V. Kovačević,Vladan Kovačević,Bosnia and Herzegovina,Norwich,,
158710,V. Kristiansen,Victor Bernth Kristiansen,Denmark,Leicester,,
17800,W. Boyle,William Sam Douglas Boyle,England,Shrewsbury,,
20089,W. Burns,Wesley James Burns,Wales,Ipswich,,
557509,W. Burrell,W. Burrell,,Birmingham,,
88462,W. Dawes,William John Dawes,England,Weston-super-Mare,,
339174,W. Eastwood,William Eastwood,England,Chelmsford City,,
398870,W. Flint,Will Flint,England,Gateshead,,
326764,W. Jarvis,William Jarvis,England,Notts County,,
182065,W. Jenkins,Will Jenkins,England,South Shields,,
19745,W. Keane,William David Keane,Republic of Ireland,Preston,,
277435,W. Lancaster,Will Lancaster,England,Gainsborough Trinity,,
574756,W. Makowski,W. Makowski,,Slough Town,,
284431,W. Tizzard,William James Tizzard,England,Sutton Utd,,
284487,Wanya Marçal,Wanya Marçal-Madivadua,Portugal,Leicester,,
180919,Welington,Welington Damascena Santos,Brazil,Southampton,,
329352,William Dickson,William Dickson,England,Chesterfield,,
284335,William Michael Brook,William Michael Brook,England,Shrewsbury,,
459341,Z. Betteka,Zaid Betteka,England,Birmingham,,
231079,Z. Brown,Zak Brown,England,Brackley Town,,
167321,Z. Lilly,Zak Lilly,England,Brackley Town,,
620204,Zac Scutt,Zac Scutt,,Burton Albion,,
284420,Zachariah Olumide Awe,Zachariah Olumide Awe,England,Salford City,,
