external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
380663,J. Sinclair,Jimmy Sinclair,England,Nottingham Forest,,
626,J. Stones,John Stones,England,Manchester City,,
570128,J. Thwaites,J. Thwaites,,Manchester United,,
362766,J. Whittaker,Jack Whittaker,England,Sunderland,,
418942,J. Wilson,James Wilson,Scotland,Tottenham,,
1746,J. Worrall,Joseph Adrian Worrall,England,Burnley,,
284390,J. Wright,James Wright,England,Aston Villa,,
70100,J. Zirkzee,Joshua Orobosa Zirkzee,Netherlands,Manchester United,,
361735,James Rowswell,James Rowswell,England,Tottenham,,
381014,Jenson Jones,Jenson Oliver Jones,England,Sunderland,,
359842,Joe Knight,Joe Knight,England,Brighton,,
366735,Joshua Kofi Acheampong,Joshua Kofi Acheampong,England,Chelsea,,
141901,Jota Silva,João Pedro Ferreira Silva,Portugal,Nottingham Forest,,
1119,K. Ajer,Kristoffer Vassbakk Ajer,Norway,Brentford,,
18885,K. Darlow,Karl Darlow,England,Leeds,,
358969,K. Lamadrid,Keiber Alberto Lamadrid Briceño,Venezuela,West Ham,,
106725,K. Lewis-Potter,Keane William Lewis-Potter,England,Brentford,,
557387,K. M. Brown,K. M. Brown,,Burnley,,
284322,K. Mainoo,Kobbie Boateng Mainoo,England,Manchester United,,
106835,K. Mitoma,Kaoru Mitoma,Japan,Brighton,,
389032,K. Morrison,Kieran Morrison,England,Liverpool,,
301295,K. Rodney,Kaden Kai Rodney,England,Crystal Palace,,
347316,L. Bergvall,Lucas Erik Holger Bergvall,Sweden,Tottenham,,
454935,L. Emenalo,Landon Emenalo,England,Chelsea,,
2997,Ł. Fabiański,Łukasz Marek Fabiański,Poland,West Ham,,
98936,L. Foster,Lyle Brent Foster,South Africa,Burnley,,
138776,L. Ramazani,Largie Ramazani,Belgium,Leeds,,
401098,L. Rawlings,Luke Rawlings,England,Wolves,,
482915,L. Routh,Leon Routh,England,Aston Villa,,
337934,L. Shahar,Leo Shahar,England,Newcastle,,
387521,L. Vušković,Luka Vušković,Croatia,Tottenham,,
465310,L. Williams-Barnett,Luca Jamie Williams-Barnett,England,Tottenham,,
342970,L. Yoro,Leny Yoro,France,Manchester United,,
2467,Lisandro Martínez,Lisandro Martínez,Argentina,Manchester United,,
428076,M. AleksiÄ,Milan Aleksić,Serbia,Sunderland,,
15908,M. Damsgaard,Mikkel Krogh Damsgaard,Denmark,Brentford,,
532,M. de Ligt,Matthijs de Ligt,Netherlands,Manchester United,,
568066,M. Eboue,M. Eboue,,Chelsea,,
37882,M. Edwards,Marcus Edwards,England,Burnley,,
278454,M. Ellborg,Melker Åke Ellborg,Sweden,Sunderland,,
47438,M. Jensen,Mathias Jensen,Denmark,Brentford,,
2934,M. Keane,Michael Vincent Keane,England,Everton,,
2291,M. Kovačić,Mateo Kovačić,Croatia,Manchester City,,
180308,M. Peart-Harris,Myles Spencer Peart-Harris,England,Brentford,,
