external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
162535,B. Arrey-Mbi,Bright Akwo Arrey-Mbi,Germany,SC Braga,,
368103,B. Çetin,Bedirhan Çetin,Türkiye,Samsunspor,,
778,B. Cristante,Bryan Cristante,Italy,AS Roma,,
347265,B. Domínguez,Benjamín Domínguez,Argentina,Bologna,,
610833,B. Dunga,B. Dunga,,PAOK,,
340573,B. El Khannouss,Bilal El Khannouss,Morocco,VfB Stuttgart,,
14410,B. Goda,Bruno Goda,Croatia,Dinamo Zagreb,,
329361,B. Hammond,Ben Hammond,Wales,Nottingham Forest,,
1937,B. Heynen,Bryan Heynen,Belgium,Genk,,
421937,B. Konteh Krubally,Bilal Konteh Krubally,Sweden,FC Midtjylland,,
262634,B. Lederman,Benjamin Lederman,Poland,Maccabi Tel Aviv,,
109564,B. Miovski,Bojan Miovski,North Macedonia,Rangers,,
37147,B. Nieuwkoop,Bart Nieuwkoop,Netherlands,Feyenoord,,
1337,B. Özer,Berke Özer,Türkiye,Lille,,
340678,B. Stevens,Brent Stevens,Belgium,Genk,,
304161,B. Traoré,Bénie Adama Traoré,Côte d'Ivoire,FC Basel 1893,,
199779,B. Yusuf,Bamidele Isa Yusuf,Nigeria,Ferencvarosi TC,,
401493,B. Żelazowski,Bartosz Żelazowski,Poland,Nice,,
550217,Benjámin Gólik,Benjámin Gólik,,Ferencvarosi TC,,
505988,Bjorn Menzo,Björn Edwin Menzo,Netherlands,Utrecht,,
47348,Borja Iglesias,Borja Iglesias Quintás,Spain,Celta Vigo,,
133453,Borja Sainz,Borja Sainz Eguskiza,Spain,FC Porto,,
611321,Brad-Hamilton Mantsounga,Brad-Hamilton Mantsounga,,Nice,,
286639,Bryan Zaragoza,Bryan Zaragoza Martínez,Spain,AS Roma; Celta Vigo,,
554300,C. Adamson,C. Adamson,,Rangers,,
3033,C. Bakambu,Cédric Bakambu,Congo DR,Real Betis,,
8625,C. Bedia,Chris Vianney Bedia,Côte d'Ivoire,BSC Young Boys,,
203162,C. Bozdoğan,Can Bozdoğan,Germany,Utrecht,,
610742,C. De Roa,C. De Roa,,Real Betis,,
952,C. Fassnacht,Christian Andreas Fassnacht,Switzerland,BSC Young Boys,,
24798,C. Führich,Chris Jan Führich,Germany,VfB Stuttgart,,
619667,C. Geitonas,C. Geitonas,,Panathinaikos,,
26236,C. Günter,Christian Günter,Germany,SC Freiburg,,
47582,C. Hernández,Juan Camilo Hernández Suárez,Colombia,Real Betis,,
15837,C. Holse,Carl Johan Holse Justesen,Denmark,Samsunspor,,
478483,C. Lakatos,Csongor Lakatos,Hungary,Ferencvarosi TC,,
2001,C. Larin,Cyle Christopher Larin,Canada,Feyenoord,,
30553,C. Lykogiannis,Charalampos Lykogiannis,Greece,Bologna,,
375,C. Mbemba,Chancel Mbemba Mangulu,Congo DR,Lille,,
371027,C. Nwaiwu,Chibuike Godfrey Nwaiwu,Nigeria,Wolfsberger AC,,
47988,C. Starfelt,Carl Anders Theodor Starfelt,Sweden,Celta Vigo,,
519,C. Tolisso,Corentin Tolisso,France,Lyon,,
