external_id,eng_name,full_name,context,short_context,name_ko,short_name_ko
129708,L. Sibley,Louie Joseph Sibley,England,Oxford United,,
449046,L. Snowden,Leo Snowden,England,Oxford United,,
19508,L. Sørensen,Lasse Sørensen,Denmark,Huddersfield,,
18223,L. Southwood,Luke Kevin Southwood,Northern Ireland,Bristol Rovers,,
152969,L. Thomas,Luke Jonathan Thomas,England,Leicester,,
20000,L. Thomas,Luke Gerald Michael Thomas,England,Bristol Rovers,,
17478,L. Thomas,Lewis Rhys Thomas,Wales,Bristol City,,
161662,L. Thompson,Liam Francis Thompson,England,Derby,,
180556,L. Tolaj,Lorent Tolaj,Switzerland,Plymouth,,
19472,L. Travis,Lewis Travis,England,Blackburn,,
284266,L. Warrington,Lewis Wesley Warrington,England,Walsall,,
329348,L. Wheeldon,Lennon Wheeldon,England,Derby,,
19247,L. Wing,Lewis Wing,England,Reading,,
17714,L. Woolfenden,Luke Matthew Woolfenden,England,Ipswich,,
284329,Lenni Rae Cirino,Lenni Rae Cirino,England,Gillingham,,
286773,Leo Castledine,Leo Castledine,England,Huddersfield,,
470082,Leo Farrell,Leo Farrell,England,Barnsley,,
526431,Leo Graham,Leo Graham,,Wigan,,
283323,Léo Scienza,Leonardo Weschenfelder Scienza,Brazil,Southampton,,
17479,Lewis Moore Ward,Lewis Moore Ward,England,Swindon Town,,
449226,Liam Roberts,Liam Roberts,England,Fleetwood Town,,
459410,Logan Stretch,Logan Stretch,England,Sheffield Wednesday,,
401227,Lorent Talla,Lorent Talla,Kosovo,QPR,,
1646,Lucas Paquetá,Lucas Tolentino Coelho de Lima,Brazil,West Ham,,
498379,Lucca Mendonça,Lucca Mendonça,Brazil,Peterborough,,
284280,Luke Joseph Butterfield,Luke Joseph Butterfield,Scotland,Chesterfield,,
503916,M. Ani,Michael Ani,England,Portsmouth,,
583772,M. Ani,M. Ani,,Portsmouth,,
344458,M. Asamoah,Maleace Asamoah,Great Britain,Wigan,,
504407,M. Ayodele,Michael Ayodele,Nigeria,Preston,,
17449,M. Benning,Malvind Singh Benning,England,Shrewsbury,,
19211,M. Bird,Max Andrew Bird,England,Bristol City,,
298129,M. Boateng,Malachi Boateng,England,Plymouth,,
20044,M. Bola,Marc Joel Bola,England,Watford,,
20112,M. Browne,Marcus Browne,England,AFC Wimbledon,,
379676,M. Campbell,Murray Campbell,Scotland,Burnley,,
17909,M. Clark,Mitchell Reece Clark,Wales,Port Vale,,
37115,M. Clark,Max Oliver Clark,England,Gillingham,,
19860,M. Clarke,Matthew Edward Barkell Clarke,England,Derby,,
283023,M. Conway,Max Conway,England,Bolton,,
20384,M. Cooper,Michael John Cooper,England,Sheffield Utd,,
18110,M. Crocombe,Maxime Teremoana Crocombe,New Zealand,Millwall,,
19666,M. Crooks,Matt Davidson Rider Crooks,England,Hull City,,
22274,M. de Gevigney,Maël Durand de Gevigney,France,Barnsley,,
284470,M. Dibley-Dias,Matthew Max Dibley-Dias,England,Chesterfield,,
418204,M. Doumbia,Mamadou Doumbia,Mali,Watford,,
25464,M. Ducksch,Marvin Ducksch,Germany,Birmingham,,
278882,M. Dyche,Max Dyche,England,Northampton,,
328808,M. Ebiowei,Malcolm Perewari Ebiowei,England,Blackpool,,
18067,M. Ekpiteta,Marvin Akpereogene Paul Edem Ekpiteta,England,Milton Keynes Dons,,
278072,M. Faal,Modou Lamin Faal,Gambia,Port Vale,,
18570,M. Fondop-Talum,Karl Mike Fondop-Talum,England,Oldham,,
284419,M. Forbes,Michael Forbes,Northern Ireland,Northampton,,
19363,M. Forss,Marcus Forss,Finland,Middlesbrough,,
19372,M. Fox,Morgan Alexander Fox,Wales,Wigan,,
15858,M. Frøkjær-Jensen,Mads Frøkjær-Jensen,Denmark,Preston,,
17656,M. Gillesphey,Macaulay Gillesphey,England,Charlton,,
19328,M. Grimes,Matthew Jacob Grimes,England,Coventry,,
22101,M. Gueye,Makhtar Gueye,Senegal,Blackburn,,
323377,M. Hancock,Mason Colin Hancock,England,Walsall,,
20031,M. Harness,Marcus Anthony Myers-Harness,England,Huddersfield,,
17932,M. Harris,Mark Thomas Harris,Wales,Oxford United,,
40495,M. Helik,Michał Sławomir Helik,Poland,Oxford United,,
153431,M. Helm,Mark Helm,England,Fleetwood Town,,
45257,M. Hippolyte,Myles Elliot Zach Hippolyte,Grenada,AFC Wimbledon,,
19432,M. Hudson,Mathew Anthony Hudson,England,Oldham,,
19659,M. Ihiekwe,Michael Uzoukwu Absalom Jude Ihiekwe,England,Blackpool,,
19572,M. Ingram,Matt Ingram,England,Oxford United,,
368659,M. Ivanović,Mihailo Ivanović,Serbia,Millwall,,
129713,M. Jacob,Matthew James Jacob,England,Reading,,
1137,M. Johnston,Michael Andrew Johnston,Republic of Ireland,West Brom,,
180305,M. Jurásek,Matěj Jurásek,Czechia,Norwich,,
237115,M. Kosznovszky,Márk Kosznovszky,Hungary,Portsmouth,,
265546,M. Kvistgaarden,Mathias Damm Kvistgaarden,Denmark,Norwich,,
339205,M. Laffey,Michael Mark Paul Laffey,England,Liverpool,,
82594,M. Langstaff,Macaulay Langstaff,England,Millwall,,
377043,M. Leaburn,Miles Leaburn,England,Charlton,,
167656,M. Leonard,Marc Henry Leonard,Scotland,Birmingham,,
44809,M. Lowe,Max Josef Lowe,England,Sheffield Wednesday,,
2752,M. Luongo,Massimo Corey Luongo,Australia,Millwall,,
328428,M. Mahoney,Murphy Joseph Mahoney,England,Barnsley,,
272730,M. Manhoef,Million Manhoef,Netherlands,Stoke City,,
19921,M. Maroši,Marko Maroši,Slovakia,Port Vale,,
195121,M. Núñez,Marcelino Ignacio Núñez Espinoza,Chile,Norwich,,
66761,M. Osmajić,Milutin Osmajić,Montenegro,Preston,,
19755,M. Pearson,Matthew Joe Pearson,England,Doncaster,,
19728,M. Pennington,Matthew Pennington,England,Bradford,,
19164,M. Phillips,Matthew Phillips,Scotland,Oxford United,,
19912,M. Power,Max Mcauley Power,England,Bradford,,
170876,M. Roberts,Myles Roberts,England,Walsall,,
